[Fri Jan 29 18:18:20 2016]	[client: 112.198.101.40] [file: core.class.php] - [Device ID: 7f9759f201c1b4bc, Platform: android, PUSH ID: APA91bHGqa3Y3dtRvrYffatWvLWefwop8svMFONbLIdQ47s9ku1CcgE-pfwsGhcvh5xQT_bxEZ-aw22hp5u_YdLlTp2g6YoWCgHGDBLpQQB2j4ylyuG9BNfRJbv_hBGd4JPiRon9qN2t]	 Status: [Existing]
[Fri Jan 29 18:19:47 2016]	[client: 112.198.101.40] [file: core.class.php] - [Device ID: 7f9759f201c1b4bc, Platform: android, PUSH ID: APA91bHGqa3Y3dtRvrYffatWvLWefwop8svMFONbLIdQ47s9ku1CcgE-pfwsGhcvh5xQT_bxEZ-aw22hp5u_YdLlTp2g6YoWCgHGDBLpQQB2j4ylyuG9BNfRJbv_hBGd4JPiRon9qN2t]	 Status: [Existing]
[Fri Jan 29 18:19:48 2016]	[client: 112.198.101.40] [file: core.class.php] - [Device ID: 7f9759f201c1b4bc, Platform: android, PUSH ID: APA91bHGqa3Y3dtRvrYffatWvLWefwop8svMFONbLIdQ47s9ku1CcgE-pfwsGhcvh5xQT_bxEZ-aw22hp5u_YdLlTp2g6YoWCgHGDBLpQQB2j4ylyuG9BNfRJbv_hBGd4JPiRon9qN2t]	 Status: [Existing]
[Fri Jan 29 18:27:14 2016]	[client: 119.94.254.226] [file: core.class.php] - [Device ID: 25fab414eb913608, Platform: android, PUSH ID: APA91bHiMOZpA0mFZAjObJ-3YHXCgoACtd1pJj8oB-ni43HSjCfNNzdaI9qIYxsWtw5WuXga2lP6Qxv27bKjrbb1GHQ9mlFlnGcrMdBfkFNL1U_n9cxcYK-1Ahx_3SKqTAIhfzHVp2GR]	 Status: [Success]
[Fri Jan 29 18:27:14 2016]	[client: 119.94.254.226] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 25fab414eb913608, Platform: android, PUSH ID: APA91bHiMOZpA0mFZAjObJ-3YHXCgoACtd1pJj8oB-ni43HSjCfNNzdaI9qIYxsWtw5WuXga2lP6Qxv27bKjrbb1GHQ9mlFlnGcrMdBfkFNL1U_n9cxcYK-1Ahx_3SKqTAIhfzHVp2GR]
[Fri Jan 29 18:33:11 2016]	[client: 112.198.98.211] [file: core.class.php] - [Device ID: 9D50BE18-F5A9-42C6-AC61-8BA59DE8F701, Platform: ios, PUSH ID: 9be65e11dbb5210d816323793a8c3843484b8019c7f698ff7a8db23b6c2c69ca]	 Status: [Success]
[Fri Jan 29 19:13:20 2016]	[client: 146.88.66.138] [file: core.class.php] - [Device ID: 41f7c6f220e8c70d, Platform: android, PUSH ID: APA91bGBrI7LU5RgW7uGa01xpRxgdFzX-v_a1toq6oxZFi85yIik5Iu_3Zz5vdVBxxFK8_HEKk9WCPlUbeDQEWeLXYFZ6i-5ZDwbUH1rJ-qBthjYiX5fLc5u0QaMej8RagqaYJ2ygv8I]	 Status: [Existing]
[Fri Jan 29 19:13:20 2016]	[client: 146.88.66.138] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 41f7c6f220e8c70d, Platform: android, PUSH ID: APA91bGBrI7LU5RgW7uGa01xpRxgdFzX-v_a1toq6oxZFi85yIik5Iu_3Zz5vdVBxxFK8_HEKk9WCPlUbeDQEWeLXYFZ6i-5ZDwbUH1rJ-qBthjYiX5fLc5u0QaMej8RagqaYJ2ygv8I]
[Fri Jan 29 19:34:16 2016]	[client: 112.198.102.76] [file: core.class.php] - [Device ID: d6da773ab2c7390, Platform: android, PUSH ID: APA91bHB9goGBSS3RD1R8wdgAuOGRJJVlRx43YfWGY7Vo8Rsf-m5XBeF_B6UWYRN-r6eHwvZFeKWjV7TnNKVrOFNJEDTCOuyr9Wgt2EOgHNyuMyT3bFBv9KTXforZnGt0f9E__S-aKQm]	 Status: [Success]
[Fri Jan 29 19:34:17 2016]	[client: 112.198.102.76] [file: core.class.php] - [Device ID: d6da773ab2c7390, Platform: android, PUSH ID: APA91bEbs9IL6uLBgj8MCe5hqATl8uxIQt6X8E-D_wu34teRkwpgRZrBOodamFWvCyrToNQ091Bj4YiSAw1OstLAr5epR1glfrCETzxbzoxXztk24yK0gqydfGlNVYF3lDhGvVA3r0fp]	 Status: [Existing]
[Fri Jan 29 20:22:30 2016]	[client: 112.198.101.41] [file: core.class.php] - [Device ID: 7f9759f201c1b4bc, Platform: android, PUSH ID: APA91bHGqa3Y3dtRvrYffatWvLWefwop8svMFONbLIdQ47s9ku1CcgE-pfwsGhcvh5xQT_bxEZ-aw22hp5u_YdLlTp2g6YoWCgHGDBLpQQB2j4ylyuG9BNfRJbv_hBGd4JPiRon9qN2t]	 Status: [Existing]
[Fri Jan 29 20:22:31 2016]	[client: 112.198.101.41] [file: core.class.php] - [Device ID: 7f9759f201c1b4bc, Platform: android, PUSH ID: APA91bHGqa3Y3dtRvrYffatWvLWefwop8svMFONbLIdQ47s9ku1CcgE-pfwsGhcvh5xQT_bxEZ-aw22hp5u_YdLlTp2g6YoWCgHGDBLpQQB2j4ylyuG9BNfRJbv_hBGd4JPiRon9qN2t]	 Status: [Existing]
[Fri Jan 29 21:54:07 2016]	[client: 112.208.30.38] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Fri Jan 29 21:54:07 2016]	[client: 112.208.30.38] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]
[Fri Jan 29 22:04:15 2016]	[client: 112.205.201.226] [file: core.class.php] - [Device ID: fe011a58a93b477b, Platform: android, PUSH ID: APA91bGD-bEwXh3fxoNZkJEarb-j0A9sQ9vbI9yNP0nW3Dp-zIs9te_d7h06pT_JvdElQ6pi5HWmImbVw6EdmGOH73CjBYY4e2dtFrmV5b0lPgT9JYTFDbhpQ199VFsTVdZjNoRk_tuS]	 Status: [Existing]
[Fri Jan 29 22:04:15 2016]	[client: 112.205.201.226] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: fe011a58a93b477b, Platform: android, PUSH ID: APA91bGD-bEwXh3fxoNZkJEarb-j0A9sQ9vbI9yNP0nW3Dp-zIs9te_d7h06pT_JvdElQ6pi5HWmImbVw6EdmGOH73CjBYY4e2dtFrmV5b0lPgT9JYTFDbhpQ199VFsTVdZjNoRk_tuS]
[Fri Jan 29 23:47:15 2016]	[client: 112.208.30.38] [file: core.class.php] - [Device ID: 3A3B8EDD-AA17-4B19-BCAC-94378D65F2A5, Platform: ios, PUSH ID: 7797717f30c7494037fb57561bd9d62a76cbae682e8ed5f135ac2493be714ebe]	 Status: [Success]
