[Thu Jan 21 19:15:48 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 26212b3bc650cdd, Platform: android, PUSH ID: APA91bFWaPUbwzk-uojVgTL4_MtmYAYZpQKg6u5l7ZNwsi18Q8QqEsy7y176KSQgIuMuMx0SlPy_akZYTTPazJyg64tfN_dAi2kXLiCh9m-1aEMntZjy-4DZIOO3r_6noY2tdd8D6N8S]	 Status: [Existing]
[Thu Jan 21 19:15:49 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 26212b3bc650cdd, Platform: android, PUSH ID: APA91bFWaPUbwzk-uojVgTL4_MtmYAYZpQKg6u5l7ZNwsi18Q8QqEsy7y176KSQgIuMuMx0SlPy_akZYTTPazJyg64tfN_dAi2kXLiCh9m-1aEMntZjy-4DZIOO3r_6noY2tdd8D6N8S]	 Status: [Existing]
[Thu Jan 21 19:24:20 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 27832436-15A9-4383-B5AA-B503A8730516, Platform: ios, PUSH ID: 1e7b443b76734ff67cba05af8c1cbb325d33b16ee2ed87333b41a7a29e041e43]	 Status: [Success]
[Thu Jan 21 19:26:23 2016]	[client: 112.198.90.187] [file: core.class.php] - [Device ID: D6FD4E01-35FE-4464-9D9F-8447DF92BD90, Platform: ios, PUSH ID: b6c1704ebf65b5c2ec2b1545764d9876b3d1d3c01c79b7efd50df1fa50d9f21a]	 Status: [Success]
[Thu Jan 21 19:36:04 2016]	[client: 112.198.90.17] [file: core.class.php] - [Device ID: 20D3616A-7889-404A-B01F-9263EF6941CF, Platform: ios, PUSH ID: ccf608cbb71a0d547b9b8651b7193b5a40e51a295d30587b3294f0d6e44d2c2f]	 Status: [Success]
[Thu Jan 21 19:50:19 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 5154D773-3719-4A7B-9754-A0C0EACABBD0, Platform: ios, PUSH ID: 6e27806651b467e6fb08ab4a31656b79e1ec301db8407f2709fcfa3957995300]	 Status: [Success]
[Thu Jan 21 20:20:21 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 26212b3bc650cdd, Platform: android, PUSH ID: APA91bFWaPUbwzk-uojVgTL4_MtmYAYZpQKg6u5l7ZNwsi18Q8QqEsy7y176KSQgIuMuMx0SlPy_akZYTTPazJyg64tfN_dAi2kXLiCh9m-1aEMntZjy-4DZIOO3r_6noY2tdd8D6N8S]	 Status: [Existing]
[Thu Jan 21 20:20:21 2016]	[client: 112.208.32.15] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 26212b3bc650cdd, Platform: android, PUSH ID: APA91bFWaPUbwzk-uojVgTL4_MtmYAYZpQKg6u5l7ZNwsi18Q8QqEsy7y176KSQgIuMuMx0SlPy_akZYTTPazJyg64tfN_dAi2kXLiCh9m-1aEMntZjy-4DZIOO3r_6noY2tdd8D6N8S]
[Thu Jan 21 20:25:23 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: af873a46c2dde5a9, Platform: android, PUSH ID: APA91bE-1L2QlIqzfs8r2-mU8iaH436UFQ2by9QNvrGLfYKMyZuEkN0PFmjgmyb-bXqZbh3mC5xdRhL1i-1HnsXB2StBzrhfWoBo2iqS5eO9NYPR_0DKgFoZgr7MqBLK1dQuCHhoxy2R]	 Status: [Success]
[Thu Jan 21 20:25:23 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: af873a46c2dde5a9, Platform: android, PUSH ID: APA91bFK7CaIem67Ma56dfXWJ4pp2bqpfCPyoDtjJvfksww5TO3HNzN78jMDCkiufIacUbKy42Mqw4HlyQuDchiARL13UYfg0NzH7nnXr9o6lPtrQvl78-fTDXFMQoZKxNiN-ovkOoEW]	 Status: [Existing]
[Thu Jan 21 20:52:31 2016]	[client: 121.54.54.172] [file: core.class.php] - [Device ID: 2b3420e3e9eb191b, Platform: android, PUSH ID: APA91bFAjU41tzVWWqdRw8E1B_BMrG7sQNgujqU8gyIaQg0pBLebVrw2FDHvkXOFeORBFsIZtxb2PjJdwSBBfp0BQWrlEV-wEvUrjiKKvEbRVHyADHY18cwuZB1Uy8MaCB2llsRC9CHt]	 Status: [Success]
[Thu Jan 21 20:52:32 2016]	[client: 121.54.54.172] [file: core.class.php] - [Device ID: 2b3420e3e9eb191b, Platform: android, PUSH ID: APA91bFAjU41tzVWWqdRw8E1B_BMrG7sQNgujqU8gyIaQg0pBLebVrw2FDHvkXOFeORBFsIZtxb2PjJdwSBBfp0BQWrlEV-wEvUrjiKKvEbRVHyADHY18cwuZB1Uy8MaCB2llsRC9CHt]	 Status: [Existing]
[Thu Jan 21 20:57:01 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: c8231494749f62e1, Platform: android, PUSH ID: APA91bHAiiI9O_ca5drxZDACZ1pqIUsNCceSPgdn_icP99GGyRgkuEBH8r-lDS6E5KwU8Cac7GosAJSjZYKhGz4Dt0Z17awvlYClE8lefUf-ZUIviP-qTvZv_tPbS9iGSIaJ9rkoPAxa]	 Status: [Success]
[Thu Jan 21 20:57:02 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: c8231494749f62e1, Platform: android, PUSH ID: APA91bHAiiI9O_ca5drxZDACZ1pqIUsNCceSPgdn_icP99GGyRgkuEBH8r-lDS6E5KwU8Cac7GosAJSjZYKhGz4Dt0Z17awvlYClE8lefUf-ZUIviP-qTvZv_tPbS9iGSIaJ9rkoPAxa]	 Status: [Existing]
[Thu Jan 21 20:59:06 2016]	[client: 121.54.54.172] [file: core.class.php] - [Device ID: 81d2f30009b0daa0, Platform: android, PUSH ID: APA91bFh1vqe8ZpjLIuteV1ubZGklACxY2qXVFjBbBLJ_ADKEYuAk6LWSooUCnoFIdhOYrcpHQ8yG9YR5jWOOSyk7dVxvcYJeGQYV_a1hTzon38B9Wf0ndn6vDA5NE6BKJ0t2fjs5EqE]	 Status: [Success]
[Thu Jan 21 20:59:07 2016]	[client: 121.54.54.172] [file: core.class.php] - [Device ID: 81d2f30009b0daa0, Platform: android, PUSH ID: APA91bFh1vqe8ZpjLIuteV1ubZGklACxY2qXVFjBbBLJ_ADKEYuAk6LWSooUCnoFIdhOYrcpHQ8yG9YR5jWOOSyk7dVxvcYJeGQYV_a1hTzon38B9Wf0ndn6vDA5NE6BKJ0t2fjs5EqE]	 Status: [Existing]
