[Sun Jan 17 20:00:54 2016]	[client: 112.198.102.198] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: a3ba3f364574554e, Platform: android, PUSH ID: APA91bFz6_NVdSfQmVSextsLsvMTs0Ob99px5LGalhslROBQ6hFRcxzKHwshgyrqFacCbqKSWbroeIBEw-zpRupJgtAPdBMQ01Jxis4T-H_3RVBpqK2ZTdxjmFtUoyMHlXApPDBdWLW7]
[Sun Jan 17 20:01:42 2016]	[client: 112.198.102.198] [file: core.class.php] - [Device ID: a3ba3f364574554e, Platform: android, PUSH ID: APA91bFz6_NVdSfQmVSextsLsvMTs0Ob99px5LGalhslROBQ6hFRcxzKHwshgyrqFacCbqKSWbroeIBEw-zpRupJgtAPdBMQ01Jxis4T-H_3RVBpqK2ZTdxjmFtUoyMHlXApPDBdWLW7]	 Status: [Existing]
[Sun Jan 17 20:01:42 2016]	[client: 112.198.102.198] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: a3ba3f364574554e, Platform: android, PUSH ID: APA91bFz6_NVdSfQmVSextsLsvMTs0Ob99px5LGalhslROBQ6hFRcxzKHwshgyrqFacCbqKSWbroeIBEw-zpRupJgtAPdBMQ01Jxis4T-H_3RVBpqK2ZTdxjmFtUoyMHlXApPDBdWLW7]
[Sun Jan 17 20:02:22 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: a4939cf59cad308b, Platform: android, PUSH ID: APA91bGfk5mo9XAzcJpOqs_3kiuqa17D_e5D5lwl2-xneUkv3HdU9QKq2FCDbO5si3ObZ5zyMI0kfdU9sTvedBmkQuhmtORVukr9VsZMhLWpKOz0GJmNIWwSminMFtHKtgwsPNedaMcN]	 Status: [Existing]
[Sun Jan 17 20:02:22 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: a4939cf59cad308b, Platform: android, PUSH ID: APA91bGfk5mo9XAzcJpOqs_3kiuqa17D_e5D5lwl2-xneUkv3HdU9QKq2FCDbO5si3ObZ5zyMI0kfdU9sTvedBmkQuhmtORVukr9VsZMhLWpKOz0GJmNIWwSminMFtHKtgwsPNedaMcN]
[Sun Jan 17 21:00:37 2016]	[client: 112.198.102.198] [file: core.class.php] - [Device ID: a3ba3f364574554e, Platform: android, PUSH ID: APA91bFz6_NVdSfQmVSextsLsvMTs0Ob99px5LGalhslROBQ6hFRcxzKHwshgyrqFacCbqKSWbroeIBEw-zpRupJgtAPdBMQ01Jxis4T-H_3RVBpqK2ZTdxjmFtUoyMHlXApPDBdWLW7]	 Status: [Existing]
[Sun Jan 17 21:00:38 2016]	[client: 112.198.102.198] [file: core.class.php] - [Device ID: a3ba3f364574554e, Platform: android, PUSH ID: APA91bFz6_NVdSfQmVSextsLsvMTs0Ob99px5LGalhslROBQ6hFRcxzKHwshgyrqFacCbqKSWbroeIBEw-zpRupJgtAPdBMQ01Jxis4T-H_3RVBpqK2ZTdxjmFtUoyMHlXApPDBdWLW7]	 Status: [Existing]
[Sun Jan 17 21:11:21 2016]	[client: 112.198.102.198] [file: core.class.php] - [Device ID: a3ba3f364574554e, Platform: android, PUSH ID: APA91bFz6_NVdSfQmVSextsLsvMTs0Ob99px5LGalhslROBQ6hFRcxzKHwshgyrqFacCbqKSWbroeIBEw-zpRupJgtAPdBMQ01Jxis4T-H_3RVBpqK2ZTdxjmFtUoyMHlXApPDBdWLW7]	 Status: [Existing]
[Sun Jan 17 21:11:22 2016]	[client: 112.198.102.198] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: a3ba3f364574554e, Platform: android, PUSH ID: APA91bFz6_NVdSfQmVSextsLsvMTs0Ob99px5LGalhslROBQ6hFRcxzKHwshgyrqFacCbqKSWbroeIBEw-zpRupJgtAPdBMQ01Jxis4T-H_3RVBpqK2ZTdxjmFtUoyMHlXApPDBdWLW7]
[Sun Jan 17 22:00:19 2016]	[client: 114.108.214.8] [file: core.class.php] - [Device ID: df5895ff770bf0a9, Platform: android, PUSH ID: APA91bEdG_T6TwmxuFPKAc_xX5FrHm9yiXbZkE6WZufuKO6UG2uXY4RItmicalQl1yFvnyg1m779HBpapDE6EORgJVZ2CUer56s0eTd3BA4g5E_hUvJ8fpFxPCe9erhK-MfUQykmSCqi]	 Status: [Success]
[Sun Jan 17 22:00:22 2016]	[client: 114.108.214.8] [file: core.class.php] - [Device ID: df5895ff770bf0a9, Platform: android, PUSH ID: APA91bEdG_T6TwmxuFPKAc_xX5FrHm9yiXbZkE6WZufuKO6UG2uXY4RItmicalQl1yFvnyg1m779HBpapDE6EORgJVZ2CUer56s0eTd3BA4g5E_hUvJ8fpFxPCe9erhK-MfUQykmSCqi]	 Status: [Existing]
[Sun Jan 17 22:42:12 2016]	[client: 112.198.83.120] [file: core.class.php] - [Device ID: A9A58368-B2CC-4C4E-B714-5EF18468B91D, Platform: ios, PUSH ID: 907968b65b55f11f42c1f3d2f136eebdb209b46b31e2fed120af1949864b3958]	 Status: [Success]
[Sun Jan 17 22:55:03 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: d9a1944d38635be9, Platform: android, PUSH ID: APA91bEmJW_Qj3vXdULGLXDs14-erU41kGHWAMvKPISE8XIfkPJY6cfz_dPF3aD2lPA5jnQJQXOT99o5_oCTgQhUhaA0ECFQsl7LthkKwbc2vk8ZLTUqAcTl-YfTJSe0yhlv7oAB_qxD]	 Status: [Success]
