[Thu Feb 04 18:43:35 2016]	[client: 112.208.59.251] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]
[Thu Feb 04 18:44:35 2016]	[client: 112.198.102.55] [file: core.class.php] - [Device ID: 29029fc8cf51ac41, Platform: android, PUSH ID: APA91bFPGvTXYFBkz15WQXuNwjEoy-onvOr4GbPii4gJ5cmJu74pfwM-YBbEGjYR4U3CQsWIJQpRSvr-bPCKjpUtDdAOq8Sk9o8hFfeBFduIp_t5xtpx3EDxF_kIf1Fu1JSVk2vnfrmj]	 Status: [Success]
[Thu Feb 04 18:44:35 2016]	[client: 112.198.102.55] [file: core.class.php] - [Device ID: 29029fc8cf51ac41, Platform: android, PUSH ID: APA91bHImW3N3gV-M6DYjVM5nOuaX8SiV_UYp98VHOcTQSofZt3ateX0u-Vg5xsLpgOwPaYQJvS3VEZf_-tt1gK6iyF9uFLkOkz-dapI2c955s7U9C-EBoTS5CB4-h__nTCB8lVmG3fJ]	 Status: [Existing]
[Thu Feb 04 19:09:58 2016]	[client: 112.208.59.251] [file: core.class.php] - [Device ID: 84f3130b0101e6c4, Platform: android, PUSH ID: APA91bEfFOMTwRZqKTFpbi62FUSIv5yChcwHskCsqE56U4rEyYDb5TydkLM9Hr5tt_K4IgpVPZEPhMrCikBmSLlOhN_lwcKUzRBRTWGWlswvdNExlBsk4WIC0a3RHrOIhC3n5ItzGZGc]	 Status: [Success]
[Thu Feb 04 19:09:58 2016]	[client: 112.208.59.251] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 84f3130b0101e6c4, Platform: android, PUSH ID: APA91bEfFOMTwRZqKTFpbi62FUSIv5yChcwHskCsqE56U4rEyYDb5TydkLM9Hr5tt_K4IgpVPZEPhMrCikBmSLlOhN_lwcKUzRBRTWGWlswvdNExlBsk4WIC0a3RHrOIhC3n5ItzGZGc]
[Thu Feb 04 19:35:36 2016]	[client: 180.191.142.52] [file: core.class.php] - [Device ID: 2c925de179fc8473, Platform: android, PUSH ID: APA91bHxc3d0O4Yfwh5w7x50whR2DN6nVcpc9_gfNXjHtRkzRqaZJMce8ljqbv7A5zEcakJGLcK3eSUe_Kt7JukIRqlJhcapENhHJt8KUGD6K8XQ5ZX_y95bc3v4B3cMxVob-k6KDB4x]	 Status: [Success]
[Thu Feb 04 19:35:36 2016]	[client: 180.191.142.52] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 2c925de179fc8473, Platform: android, PUSH ID: APA91bHxc3d0O4Yfwh5w7x50whR2DN6nVcpc9_gfNXjHtRkzRqaZJMce8ljqbv7A5zEcakJGLcK3eSUe_Kt7JukIRqlJhcapENhHJt8KUGD6K8XQ5ZX_y95bc3v4B3cMxVob-k6KDB4x]
[Thu Feb 04 19:36:04 2016]	[client: 112.198.102.75] [file: core.class.php] - [Device ID: 147e2c5bc07dd56d, Platform: android, PUSH ID: APA91bG-ik5-rHd6RfUGdtHoMm1KTVp9Mt3Ep4O7BkavJ21L9PaUl1uY17PEfGVd0Hmd4mt8yh-KJAhzLa4mosEsDBVGcAMMaPV41Fki2gC9RJEiBJoqLLSAPblOtreC6Uzp-N2SEqA4]	 Status: [Success]
[Thu Feb 04 19:36:04 2016]	[client: 112.198.102.75] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 147e2c5bc07dd56d, Platform: android, PUSH ID: APA91bG-ik5-rHd6RfUGdtHoMm1KTVp9Mt3Ep4O7BkavJ21L9PaUl1uY17PEfGVd0Hmd4mt8yh-KJAhzLa4mosEsDBVGcAMMaPV41Fki2gC9RJEiBJoqLLSAPblOtreC6Uzp-N2SEqA4]
[Thu Feb 04 19:42:05 2016]	[client: 121.54.44.142] [file: core.class.php] - [Device ID: e1d8397216681afb, Platform: android, PUSH ID: APA91bHH3laQstbcOClGMooTIwE9gqzyuhcP03HqhCfPBjlM_sPhbRuaSvQOqCyaboAU6-4NpyeevjkVhPxmzr_zyPSymeU23rx-sBggWdOP5NKUCXkgQJxTl827R6iebW-ks3AlkJIo]	 Status: [Success]
[Thu Feb 04 19:42:07 2016]	[client: 121.54.44.142] [file: core.class.php] - [Device ID: e1d8397216681afb, Platform: android, PUSH ID: APA91bHH3laQstbcOClGMooTIwE9gqzyuhcP03HqhCfPBjlM_sPhbRuaSvQOqCyaboAU6-4NpyeevjkVhPxmzr_zyPSymeU23rx-sBggWdOP5NKUCXkgQJxTl827R6iebW-ks3AlkJIo]	 Status: [Existing]
[Thu Feb 04 19:42:19 2016]	[client: 112.198.102.75] [file: core.class.php] - [Device ID: 147e2c5bc07dd56d, Platform: android, PUSH ID: APA91bG-ik5-rHd6RfUGdtHoMm1KTVp9Mt3Ep4O7BkavJ21L9PaUl1uY17PEfGVd0Hmd4mt8yh-KJAhzLa4mosEsDBVGcAMMaPV41Fki2gC9RJEiBJoqLLSAPblOtreC6Uzp-N2SEqA4]	 Status: [Existing]
[Thu Feb 04 19:42:19 2016]	[client: 112.198.102.75] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 147e2c5bc07dd56d, Platform: android, PUSH ID: APA91bG-ik5-rHd6RfUGdtHoMm1KTVp9Mt3Ep4O7BkavJ21L9PaUl1uY17PEfGVd0Hmd4mt8yh-KJAhzLa4mosEsDBVGcAMMaPV41Fki2gC9RJEiBJoqLLSAPblOtreC6Uzp-N2SEqA4]
[Thu Feb 04 19:44:04 2016]	[client: 112.208.59.251] [file: core.class.php] - [Device ID: 84f3130b0101e6c4, Platform: android, PUSH ID: APA91bEfFOMTwRZqKTFpbi62FUSIv5yChcwHskCsqE56U4rEyYDb5TydkLM9Hr5tt_K4IgpVPZEPhMrCikBmSLlOhN_lwcKUzRBRTWGWlswvdNExlBsk4WIC0a3RHrOIhC3n5ItzGZGc]	 Status: [Existing]
[Thu Feb 04 19:44:31 2016]	[client: 112.208.59.251] [file: core.class.php] - [Device ID: 84f3130b0101e6c4, Platform: android, PUSH ID: APA91bEfFOMTwRZqKTFpbi62FUSIv5yChcwHskCsqE56U4rEyYDb5TydkLM9Hr5tt_K4IgpVPZEPhMrCikBmSLlOhN_lwcKUzRBRTWGWlswvdNExlBsk4WIC0a3RHrOIhC3n5ItzGZGc]	 Status: [Existing]
[Thu Feb 04 19:51:26 2016]	[client: 203.111.231.133] [file: core.class.php] - [Device ID: 9fcf2b72078f86a4, Platform: android, PUSH ID: APA91bEcdkr-y0EmPXpe3zX6jsBMwBUpjlrmOun10vvJAxX0tlVXW4sZnxlLO478S1H2j7WA5tBswMam-Me84ChLx-4AHroLstxsoVadCOJeOIsUISR3Twq-I9PxOQ6q-FSBhq0L4i3q]	 Status: [Success]
[Thu Feb 04 19:51:27 2016]	[client: 203.111.231.133] [file: core.class.php] - [Device ID: 9fcf2b72078f86a4, Platform: android, PUSH ID: APA91bEcdkr-y0EmPXpe3zX6jsBMwBUpjlrmOun10vvJAxX0tlVXW4sZnxlLO478S1H2j7WA5tBswMam-Me84ChLx-4AHroLstxsoVadCOJeOIsUISR3Twq-I9PxOQ6q-FSBhq0L4i3q]	 Status: [Existing]
[Thu Feb 04 19:52:29 2016]	[client: 112.198.79.48] [file: core.class.php] - [Device ID: 86cbfd4c3fc1fa10, Platform: android, PUSH ID: APA91bH-fTszjR6dioBCVJkdFzjP0SZKRUnvR_CBx3MFwG6XHTGE74sm-EUtKqR9ZZcYgPHIx184pvbQfWoveJ0kGyexCUV5HdrvDrNc630yP550KUS07ihVbvhAJCVJPQebl3gXQaBB]	 Status: [Success]
[Thu Feb 04 19:53:38 2016]	[client: 203.111.231.133] [file: core.class.php] - [Device ID: 23a19704ab43a639, Platform: android, PUSH ID: APA91bHy8riH5Z-vBKFYVHIuFmPwZHCflaJ5v5XsxBJm-fdhqC1xoMNQ0rEG2n3CUitFaUbR1R3Gdb66-E9G-IxgamJ_7TAeZ0pZYCiPa_Na5ZmLoLn3t9h_1ZOm9yCr81QDMwfr8BY5]	 Status: [Success]
