[Mon Feb 01 19:18:02 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: ca8856bc03a04c7c, Platform: android, PUSH ID: APA91bFxfNe-r6O0pSoNHnnd0MaMjuO_95TSSEqw-5zcYaO_HSLG1D6E1Gmzj2AA0J8fpHbm3jj5OnIdsWNFkIV7gS0xveZuf-b0ZrjPwc5jpALzpP7L8jyr-3xSOEOjRrEy6m1ciz8T]	 Status: [Existing]
[Mon Feb 01 19:18:03 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: ca8856bc03a04c7c, Platform: android, PUSH ID: APA91bFxfNe-r6O0pSoNHnnd0MaMjuO_95TSSEqw-5zcYaO_HSLG1D6E1Gmzj2AA0J8fpHbm3jj5OnIdsWNFkIV7gS0xveZuf-b0ZrjPwc5jpALzpP7L8jyr-3xSOEOjRrEy6m1ciz8T]	 Status: [Existing]
[Mon Feb 01 19:28:11 2016]	[client: 180.191.143.230] [file: core.class.php] - [Device ID: 56f4bf6596c6af88, Platform: android, PUSH ID: APA91bHphphdNbN5HL-CKhFeO-Tmzj4JHStTDPZrQiLdTNpTkeGXVx9H09pTaVp857YoGQP30-49rPX3yfRIcfBNzDim9psru41i8AWUOPKEFg9bwZ8RxtUTScHKn9LqFCPUWdCR8QFo]	 Status: [Success]
[Mon Feb 01 19:28:11 2016]	[client: 180.191.143.230] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 56f4bf6596c6af88, Platform: android, PUSH ID: APA91bHphphdNbN5HL-CKhFeO-Tmzj4JHStTDPZrQiLdTNpTkeGXVx9H09pTaVp857YoGQP30-49rPX3yfRIcfBNzDim9psru41i8AWUOPKEFg9bwZ8RxtUTScHKn9LqFCPUWdCR8QFo]
[Mon Feb 01 19:48:59 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: AAB0D850-E75A-49BA-B6A5-DDA25316E30C, Platform: ios, PUSH ID: 2b39f259da8e0c0e4770e8a158019115c0b62c10d828dd229812240b8c3863da]	 Status: [Success]
[Mon Feb 01 20:38:54 2016]	[client: 121.54.54.173] [file: core.class.php] - [Device ID: 2fd94945e740d3e0, Platform: android, PUSH ID: APA91bE1n4PVvkMTUeB2j3F-Iq5QCNU694ut4PVLuHeq89WSuvbQQNfoRN4wrNOlLgLmInijOcnJxVmr2_Hbcr1zdDMM04ArEHT6S6yrnOpYIL5Ee6HI_GANiBNi66m614F9qWprDwm2]	 Status: [Success]
[Mon Feb 01 20:38:54 2016]	[client: 121.54.54.173] [file: core.class.php] - [Device ID: 2fd94945e740d3e0, Platform: android, PUSH ID: APA91bE1n4PVvkMTUeB2j3F-Iq5QCNU694ut4PVLuHeq89WSuvbQQNfoRN4wrNOlLgLmInijOcnJxVmr2_Hbcr1zdDMM04ArEHT6S6yrnOpYIL5Ee6HI_GANiBNi66m614F9qWprDwm2]	 Status: [Existing]
[Mon Feb 01 20:45:37 2016]	[client: 121.54.54.249] [file: core.class.php] - [Device ID: 2fd94945e740d3e0, Platform: android, PUSH ID: APA91bE1n4PVvkMTUeB2j3F-Iq5QCNU694ut4PVLuHeq89WSuvbQQNfoRN4wrNOlLgLmInijOcnJxVmr2_Hbcr1zdDMM04ArEHT6S6yrnOpYIL5Ee6HI_GANiBNi66m614F9qWprDwm2]	 Status: [Existing]
[Mon Feb 01 20:45:38 2016]	[client: 121.54.54.249] [file: core.class.php] - [Device ID: 2fd94945e740d3e0, Platform: android, PUSH ID: APA91bE1n4PVvkMTUeB2j3F-Iq5QCNU694ut4PVLuHeq89WSuvbQQNfoRN4wrNOlLgLmInijOcnJxVmr2_Hbcr1zdDMM04ArEHT6S6yrnOpYIL5Ee6HI_GANiBNi66m614F9qWprDwm2]	 Status: [Existing]
[Mon Feb 01 20:47:09 2016]	[client: 112.198.78.68] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
